file,key_fix_text,label(bbox)
01502814_page-0.png,company name,"[171.0, 121.0, 111.0, 91.0]"
01502814_page-0.png,substantial holder name,"[168.0, 253.0, 317.0, 11.0]"
01502814_page-0.png,holder ACN/ARSN,"[169.0, 265.0, 82.0, 11.0]"
01502814_page-0.png,There was a change in the interests of the substantial holder on,"[175.0, 295.0, 47.0, 12.0]"
01502814_page-0.png,The previous notice was dated,"[174.0, 337.0, 49.0, 12.0]"
01502814_page-0.png,The previous notice was given to the company on,"[175.0, 368.0, 47.0, 12.0]"
01502814_page-0.png,class of securities,"[39.0, 498.0, 107.0, 9.0]"
01502814_page-0.png,Previous notice Person's notes,"[175.0, 498.0, 49.0, 9.0]"
01502814_page-0.png,Previous notice Voting power,"[266.0, 498.0, 33.0, 9.0]"
01502814_page-0.png,Present notice Person's votes,"[356.0, 497.0, 49.0, 11.0]"
01502814_page-0.png,Present notice Voting power,"[436.0, 498.0, 35.0, 9.0]"
01502814_page-0.png,company ACN/ARSN,"[173.0, 218.0, 55.0, 12.0]"
01311266_page-0.png,company name,"[167.0, 131.0, 121.0, 15.0]"
01311266_page-0.png,company ACN/ARSN,"[168.0, 152.0, 66.0, 12.0]"
01311266_page-0.png,substantial holder name,"[167.0, 199.0, 109.0, 17.0]"
01311266_page-0.png,holder ACN/ARSN,"[169.0, 219.0, 24.0, 13.0]"
01311266_page-0.png,There was a change in the interests of the substantial holder on,"[241.0, 258.0, 87.0, 15.0]"
01311266_page-0.png,The previous notice was dated,"[245.0, 276.0, 82.0, 11.0]"
01311266_page-0.png,The previous notice was given to the company on,"[245.0, 292.0, 81.0, 15.0]"
01311266_page-0.png,class of securities,"[61.0, 417.0, 87.0, 13.0]"
01311266_page-0.png,Previous notice Person's notes,"[209.0, 418.0, 61.0, 12.0]"
01311266_page-0.png,Previous notice Voting power,"[309.0, 416.0, 40.0, 15.0]"
01311266_page-0.png,Present notice Person's votes,"[387.0, 416.0, 56.0, 14.0]"
01311266_page-0.png,Present notice Voting power,"[476.0, 417.0, 41.0, 13.0]"
01312096_page-0.png,company name,"[163.0, 146.0, 92.0, 15.0]"
01312096_page-0.png,company ACN/ARSN,-1
01312096_page-0.png,substantial holder name,"[163.0, 197.0, 181.0, 63.0]"
01312096_page-0.png,holder ACN/ARSN,-1
01312096_page-0.png,There was a change in the interests of the substantial holder on,"[163.0, 274.0, 69.0, 15.0]"
01312096_page-0.png,The previous notice was dated,"[164.0, 294.0, 69.0, 13.0]"
