epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.01147,2.29989,3.46372,1.29913,0.31549,0.4337,0.30622,0.17598,1.53131,2.65211,0.99816,0.0679706,0.000323529,0.000323529
2,7.10277,1.32072,1.00301,0.9391,0.29386,0.59733,0.36832,0.17911,1.78376,2.95495,0.97591,0.0349576,0.000643857,0.000643857
3,10.1526,1.30327,0.88596,0.92904,0.65818,0.74705,0.76838,0.44159,1.46067,1.40218,0.94476,0.00193138,0.000950984,0.000950984
4,13.2132,1.38297,0.8642,0.93434,0.54196,0.75313,0.59487,0.36074,1.23325,1.39148,0.8874,0.0009406,0.0009406,0.0009406
5,16.1724,1.31649,0.79042,0.91623,0.69266,0.8403,0.75157,0.48301,1.14037,0.93135,0.87169,0.0009208,0.0009208,0.0009208
6,19.2558,1.27993,0.73506,0.89961,0.82372,0.86824,0.906,0.5808,1.20941,0.86763,0.8717,0.000901,0.000901,0.000901
7,22.3174,1.26782,0.75319,0.89469,0.87647,0.94649,0.97047,0.67708,1.03355,0.68231,0.85271,0.0008812,0.0008812,0.0008812
8,25.3826,1.16291,0.67677,0.88276,0.93102,0.95185,0.98071,0.66438,1.14395,0.64189,0.86049,0.0008614,0.0008614,0.0008614
9,28.3397,1.20397,0.67958,0.88399,0.93771,0.93,0.97072,0.66661,1.0363,0.61873,0.85037,0.0008416,0.0008416,0.0008416
10,31.3199,1.18577,0.66877,0.8755,0.95584,0.96028,0.97545,0.70491,0.98286,0.59792,0.84486,0.0008218,0.0008218,0.0008218
11,34.3791,1.13028,0.63142,0.87031,0.97282,0.9398,0.9849,0.71607,0.93703,0.56585,0.83985,0.000802,0.000802,0.000802
12,37.4821,1.13787,0.62101,0.86886,0.98701,0.98116,0.98999,0.69968,1.0307,0.58023,0.8426,0.0007822,0.0007822,0.0007822
13,40.4359,1.14212,0.61524,0.86822,0.94709,0.96907,0.96722,0.6794,0.99546,0.60318,0.8265,0.0007624,0.0007624,0.0007624
14,43.4155,1.08677,0.60099,0.86249,0.9536,0.95414,0.98312,0.70365,0.95747,0.55608,0.82894,0.0007426,0.0007426,0.0007426
15,46.3847,1.09195,0.58216,0.85284,0.97475,0.97318,0.99066,0.71773,0.97187,0.52642,0.82172,0.0007228,0.0007228,0.0007228
16,49.4557,1.08712,0.57696,0.85514,0.97784,0.95086,0.98836,0.71167,0.99645,0.55161,0.8346,0.000703,0.000703,0.000703
17,52.4187,1.04436,0.56113,0.84617,0.89874,0.94616,0.9679,0.69601,1.01897,0.60886,0.83193,0.0006832,0.0006832,0.0006832
18,55.3975,1.08316,0.56826,0.84952,0.9746,0.96433,0.98408,0.7168,0.94352,0.55932,0.82308,0.0006634,0.0006634,0.0006634
19,58.3611,1.07158,0.56435,0.85009,0.95631,0.97713,0.99037,0.72856,0.94742,0.51921,0.82427,0.0006436,0.0006436,0.0006436
20,61.4385,1.05922,0.54295,0.84884,0.98307,0.9771,0.992,0.75672,0.86588,0.48134,0.8131,0.0006238,0.0006238,0.0006238
21,64.5004,1.06209,0.54627,0.85243,0.99107,0.97046,0.99097,0.73556,0.92439,0.5138,0.82083,0.000604,0.000604,0.000604
