epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.59485,1.56706,2.29247,1.10261,0.68533,0.79121,0.85813,0.56363,1.17346,2.43348,0.96943,0.0674925,0.000328358,0.000328358
2,18.1506,1.20143,0.87391,0.95309,0.84108,0.93985,0.97775,0.6629,1.11123,0.94383,0.9281,0.034486,0.000655141,0.000655141
3,26.676,1.18137,0.77201,0.93752,0.8639,0.91705,0.93206,0.62145,1.11453,1.06225,0.9287,0.00147284,0.000975323,0.000975323
4,35.1793,1.2178,0.76,0.95017,0.90889,0.8969,0.95025,0.67089,1.00888,0.73315,0.92331,0.0009703,0.0009703,0.0009703
5,43.6665,1.13289,0.70236,0.93015,0.9051,0.92911,0.93835,0.67505,0.96045,0.7123,0.88581,0.0009604,0.0009604,0.0009604
6,52.1671,1.09538,0.63425,0.92289,0.98401,0.97182,0.99057,0.71944,0.96437,0.58413,0.87928,0.0009505,0.0009505,0.0009505
7,60.7748,1.08814,0.62644,0.91187,0.98669,0.98611,0.99372,0.73596,0.93895,0.55156,0.88016,0.0009406,0.0009406,0.0009406
8,69.2573,1.08847,0.61804,0.91514,0.95685,0.98148,0.98598,0.71712,0.96407,0.59809,0.88844,0.0009307,0.0009307,0.0009307
9,77.7441,1.08569,0.61604,0.91393,0.97076,0.9736,0.98561,0.74806,0.87577,0.56385,0.87118,0.0009208,0.0009208,0.0009208
10,86.2265,1.06339,0.58813,0.90509,0.98353,0.98343,0.99326,0.73511,0.91407,0.55116,0.88137,0.0009109,0.0009109,0.0009109
11,94.6197,1.06859,0.58089,0.90843,0.98953,0.97914,0.99397,0.71925,0.99427,0.55871,0.88427,0.000901,0.000901,0.000901
12,103.185,1.06985,0.5697,0.89967,0.97056,0.99374,0.99465,0.69889,1.06116,0.55739,0.88666,0.0008911,0.0008911,0.0008911
13,111.572,1.06468,0.5606,0.89686,0.98767,0.9943,0.99284,0.73509,0.92116,0.51711,0.87789,0.0008812,0.0008812,0.0008812
14,119.98,1.03783,0.541,0.89192,0.99359,0.98977,0.99467,0.73663,0.95586,0.51574,0.86822,0.0008713,0.0008713,0.0008713
15,128.479,1.02205,0.53594,0.8874,0.99637,0.99161,0.99481,0.75027,0.90279,0.48825,0.86102,0.0008614,0.0008614,0.0008614
16,136.981,1.01312,0.51889,0.88351,0.96428,0.98271,0.98977,0.7039,1.0529,0.5103,0.87773,0.0008515,0.0008515,0.0008515
17,145.388,1.00633,0.5171,0.88799,0.99376,0.98486,0.99455,0.74095,0.9367,0.48051,0.86485,0.0008416,0.0008416,0.0008416
18,153.919,1.00197,0.51442,0.88457,0.99459,0.99792,0.99499,0.73551,0.95205,0.47591,0.86495,0.0008317,0.0008317,0.0008317
19,162.291,1.00795,0.51088,0.88281,0.99062,0.9957,0.99429,0.75427,0.90505,0.46321,0.86386,0.0008218,0.0008218,0.0008218
20,170.824,1.05351,0.529,0.89172,0.96645,0.96872,0.98521,0.6394,1.24041,0.61534,0.90688,0.0008119,0.0008119,0.0008119
21,179.319,1.06886,0.53729,0.89842,0.98058,0.99652,0.99428,0.76231,0.86799,0.46967,0.86509,0.000802,0.000802,0.000802
22,187.912,0.99665,0.51336,0.88824,0.99459,0.99275,0.99431,0.77004,0.8645,0.44343,0.85807,0.0007921,0.0007921,0.0007921
23,196.417,0.98956,0.49299,0.88059,0.98501,0.98854,0.99412,0.76664,0.88786,0.45532,0.86988,0.0007822,0.0007822,0.0007822
24,204.932,0.99527,0.49555,0.87442,0.98313,0.99853,0.99248,0.76304,0.88897,0.45966,0.85682,0.0007723,0.0007723,0.0007723
25,213.357,0.98028,0.49271,0.87058,0.98321,0.99422,0.99431,0.77471,0.84914,0.44291,0.85783,0.0007624,0.0007624,0.0007624
26,221.874,0.97803,0.49355,0.88097,0.9936,0.99653,0.99424,0.77276,0.85201,0.44283,0.86392,0.0007525,0.0007525,0.0007525
27,230.404,0.96809,0.48596,0.87526,0.98864,0.99279,0.99334,0.77099,0.84377,0.45247,0.85645,0.0007426,0.0007426,0.0007426
28,238.814,0.95373,0.46902,0.87175,0.99526,0.99749,0.99498,0.78051,0.84639,0.42892,0.85712,0.0007327,0.0007327,0.0007327
29,247.333,0.95431,0.46939,0.86357,0.99422,0.9949,0.99463,0.80783,0.80234,0.42721,0.85332,0.0007228,0.0007228,0.0007228
30,255.95,0.93597,0.45859,0.86486,0.99734,0.99772,0.99446,0.78311,0.82804,0.42128,0.85279,0.0007129,0.0007129,0.0007129
31,264.355,0.93671,0.46265,0.86301,0.99701,0.99808,0.995,0.78648,0.80561,0.41453,0.85166,0.000703,0.000703,0.000703
32,272.828,0.96066,0.46946,0.8704,0.97579,0.97963,0.99468,0.77044,0.85307,0.46746,0.85545,0.0006931,0.0006931,0.0006931
33,281.373,0.94933,0.47053,0.8712,0.99093,0.99406,0.99343,0.77944,0.83655,0.43429,0.85959,0.0006832,0.0006832,0.0006832
34,289.774,0.96783,0.47358,0.87766,0.99,0.99561,0.99457,0.78825,0.82862,0.43392,0.85686,0.0006733,0.0006733,0.0006733
35,298.173,0.94455,0.46637,0.86329,0.99312,0.99555,0.99481,0.77998,0.82701,0.44015,0.85185,0.0006634,0.0006634,0.0006634
36,306.718,0.94265,0.45743,0.86068,0.99658,0.99546,0.99496,0.75371,0.92337,0.44871,0.86483,0.0006535,0.0006535,0.0006535
37,315.115,0.99839,0.48183,0.8776,0.99575,0.99831,0.995,0.75216,0.93322,0.44923,0.86434,0.0006436,0.0006436,0.0006436
38,323.541,0.97785,0.47502,0.87098,0.99462,0.99452,0.99431,0.78399,0.81842,0.42602,0.84972,0.0006337,0.0006337,0.0006337
39,332.065,0.93453,0.46263,0.85938,0.99194,0.99706,0.99401,0.78738,0.82388,0.42175,0.85098,0.0006238,0.0006238,0.0006238
40,340.46,0.92656,0.44455,0.85794,0.99673,0.9976,0.99497,0.79579,0.80663,0.4087,0.84701,0.0006139,0.0006139,0.0006139
41,348.887,0.94021,0.45593,0.86852,0.99762,0.99684,0.99451,0.77618,0.85684,0.41252,0.85886,0.000604,0.000604,0.000604
42,357.443,0.91831,0.44126,0.8661,0.99556,0.99525,0.99452,0.79233,0.81681,0.39123,0.85255,0.0005941,0.0005941,0.0005941
43,365.838,0.92696,0.44824,0.85667,0.99587,0.99561,0.99443,0.77986,0.85021,0.41663,0.86488,0.0005842,0.0005842,0.0005842
44,374.254,0.91103,0.43692,0.85883,0.99658,0.99721,0.99471,0.79441,0.79378,0.38024,0.84739,0.0005743,0.0005743,0.0005743
45,382.773,0.90778,0.43044,0.85633,0.99289,0.99471,0.99427,0.77667,0.85011,0.42707,0.85804,0.0005644,0.0005644,0.0005644
46,391.193,0.91098,0.43437,0.86066,0.98402,0.99632,0.99394,0.79352,0.80831,0.41152,0.84746,0.0005545,0.0005545,0.0005545
47,399.574,0.92278,0.43693,0.86187,0.99683,0.99574,0.99449,0.79753,0.81922,0.40434,0.84803,0.0005446,0.0005446,0.0005446
48,408.087,0.92288,0.43566,0.86121,0.99647,0.99433,0.9945,0.80185,0.78138,0.39961,0.84829,0.0005347,0.0005347,0.0005347
